Reporting date,Company Name,ABN,Segment,Sub-segment,Restriction on authorisation,Gross written premium,Gross earned premium,"Of which:Fire service levy",Outwards reinsurance expense,Net earned premium,Gross incurred claims,"Of which:Paid claims","Of which:Movement in outstanding claims liabilities",Reinsurance recoveries revenue,Non-reinsurance recoveries revenue,Net incurred claims,Of which: Current period net claims expense,Of which: Non-recurring items that are part of net claims,Acquisition costs (excluding LAT),Results of liability adequacy tests,Levies and charges,Commission revenue,Commission expense,Other underwriting expenses,Total underwriting expenses,Underwriting result,Investment income on assets backing insurance liabilities,Investment expenses on assets backing insurance liabilities,Insurance result,Investment income on shareholders funds,Other operating expenses,Other operating income,Income tax expense from continuing operations,Other profit and loss items,Net profit/loss after tax
30/06/2022,BHP Marine & General Insurances Pty Ltd,79004958178,Direct insurer,Commercial lines insurers,Captive,3,9,0,1,9,-4,0,-4,-2,0,-2,-2,0,0,0,0,0,0,0,0,11,0,0,11,86,0,-1,5,0,91
30/06/2022,Boral Insurance Pty Limited,67000736318,Direct insurer,Commercial lines insurers,Run-off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/06/2022,Catholic Church Insurance Limited,76000005210,Direct insurer,Commercial lines insurers,,126,83,2,30,53,163,82,81,99,0,64,-96,160,2,0,3,5,0,17,17,-28,-2,0,-31,0,4,0,0,0,-34
30/06/2022,Chubb Insurance Australia Ltd,23001642020,Direct insurer,Commercial lines insurers,,573,461,13,145,316,355,184,172,218,12,125,158,-33,-2,1,13,15,79,12,88,103,-83,0,20,-43,10,1,-10,0,-22
30/06/2022,CIC Allianz Insurance Limited,56094802801,Direct insurer,Direct insurers from large groups,,0,0,0,0,0,-8,13,-21,-9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
30/06/2022,Commonwealth Insurance Limited,96067524216,Direct insurer,Personal lines insurers,,216,216,7,27,188,237,221,15,83,6,147,147,-1,3,12,6,0,16,9,45,-4,1,0,-2,-3,1,0,-2,0,-4
30/06/2022,Commonwealth Steamship Insurance Company Proprietary Limited,86004127431,Direct insurer,Commercial lines insurers,Run-off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/06/2022,Compagnie Francaise D'Assurance Pour Le Commerce Exterieur,60130761116,Direct insurer,Other direct insurers,,6,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,3,0,3,1,2,0,-1
30/06/2022,Corrvas Insurance Pty Ltd,92088684799,Direct insurer,Commercial lines insurers,Run-off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/06/2022,Credicorp Insurance Pty. Ltd.,50069196756,Direct insurer,Personal lines insurers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/06/2022,Domestic & General Insurance PLC,11124040768,Direct insurer,Other direct insurers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
30/06/2022,Employers Mutual Limited,67000006486,Direct insurer,Commercial lines insurers,,0,0,0,0,0,-1,0,-1,0,0,-1,0,-1,0,0,0,0,0,0,0,1,0,0,1,-2,9,19,3,0,7
30/06/2022,Eric Insurance Limited,18009129793,Direct insurer,Other direct insurers,,10,18,0,0,18,8,8,0,0,2,6,6,0,0,0,0,0,9,0,9,3,0,0,3,0,6,0,0,0,-3
30/06/2022,Factory Mutual Insurance Company,47163108861,Direct insurer,Commercial lines insurers,,116,93,5,45,49,29,22,7,-19,0,48,60,-12,1,2,5,5,0,0,3,-2,1,0,-1,0,12,2,-3,0,-8
30/06/2022,First American Title Insurance Company of Australia Pty Limited,64075279908,Direct insurer,Other direct insurers,,4,4,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,2,0,0,0,2
30/06/2022,General Reinsurance Australia Ltd,16008427450,Reinsurer,Reinsurer,,39,50,0,16,34,0,20,-20,-2,0,3,9,-6,9,-2,0,0,0,5,13,19,-3,0,16,-1,0,0,5,0,10
30/06/2022,Genworth Financial Mortgage Indemnity Limited,55001825725,Direct insurer,Lenders mortgage insurers,Run-off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
30/06/2022,Genworth Financial Mortgage Insurance Pty Limited,60106974305,Direct insurer,Lenders mortgage insurers,LMI,82,121,0,13,108,18,7,11,0,1,17,0,17,6,0,0,0,0,18,24,67,-35,0,32,-25,3,0,0,0,4
30/06/2022,Gordian Runoff Limited,11052179647,Reinsurer,Reinsurer,Run-off,0,0,0,0,0,-4,17,-21,-2,0,-2,0,-2,0,0,0,0,0,0,0,2,-1,0,1,2,1,0,1,0,1
30/06/2022,Great Lakes Insurance SE,18964580576,Direct insurer,Personal lines insurers,,33,48,1,48,0,31,20,11,30,0,0,0,0,0,0,1,13,8,0,-4,4,0,0,4,0,3,0,0,0,0
30/06/2022,Guild Insurance Limited,55004538863,Direct insurer,Commercial lines insurers,,108,68,3,21,46,102,30,72,67,5,31,57,-26,5,0,0,5,10,0,9,7,-3,0,4,-2,18,0,-4,0,-11
30/06/2022,Hallmark General Insurance Company Ltd.,82008477647,Direct insurer,Personal lines insurers,,2,4,0,0,4,2,2,0,0,0,2,2,0,0,0,0,0,1,0,1,1,0,0,2,0,3,0,0,0,-1
30/06/2022,Hannover Ruck SE,88002927031,Reinsurer,Reinsurer,,218,259,0,20,239,168,138,30,33,0,135,167,-32,0,0,0,1,61,0,59,45,-34,0,10,-9,5,3,0,0,-1
30/06/2022,HDI Global SE,55490279016,Direct insurer,Commercial lines insurers,,129,81,2,44,37,56,33,23,32,0,24,45,-21,3,0,2,7,3,2,3,11,-2,0,9,-1,2,0,1,0,4
30/06/2022,HDI Global Specialty SE,58129395544,Direct insurer,Commercial lines insurers,,132,110,2,97,13,68,62,7,61,0,8,10,-2,0,0,2,25,23,0,0,5,0,0,5,0,3,1,1,0,2
30/06/2022,Hospitality Employers Mutual Limited,34124091470,Direct insurer,Commercial lines insurers,,48,18,0,5,13,3,11,-7,1,0,2,5,-3,0,0,1,2,0,3,2,9,-3,0,5,0,1,0,1,0,3
30/06/2022,Insurance Australia Limited,11000016722,Direct insurer,Direct insurers from large groups,,"2,703","2,278",59,"1,690",588,"1,531","1,714",-183,"1,125",139,267,354,-87,89,0,20,232,166,134,177,143,-65,0,78,-52,139,88,3,0,-28
30/06/2022,Insurance Manufacturers of Australia Pty Limited,93004208084,Direct insurer,Direct insurers from large groups,,"1,053","1,054",58,77,977,621,830,-209,54,43,524,624,-100,114,0,35,0,37,19,205,248,-12,1,235,-42,-1,0,58,0,136
30/06/2022,Lawcover Insurance Pty Limited,15095082509,Direct insurer,Commercial lines insurers,,92,21,0,3,18,23,10,12,3,0,20,11,9,0,0,0,0,0,5,5,-6,-2,0,-8,-4,0,0,-4,0,-9
30/06/2022,LFI Group Pty Ltd,31138903581,Direct insurer,Personal lines insurers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/06/2022,Liberty Mutual Insurance Company,61086083605,Direct insurer,Commercial lines insurers,,297,230,1,98,132,50,56,-6,29,-16,37,73,-36,1,-7,1,20,23,0,-2,97,-56,0,40,-4,26,0,3,0,7
30/06/2022,MDA National Insurance Pty Ltd,56058271417,Direct insurer,Commercial lines insurers,,31,20,0,1,20,12,21,-9,-5,5,12,17,-5,0,0,0,0,0,1,1,7,-9,0,-1,0,7,0,0,0,-9
30/06/2022,Medical Insurance Australia Pty Limited,99092709629,Direct insurer,Commercial lines insurers,,54,15,0,2,14,-7,15,-22,-7,-4,4,10,-6,0,0,0,0,0,0,0,9,-2,0,7,-3,7,1,-1,0,-1
30/06/2022,MetLife General Insurance Limited,64004195895,Direct insurer,Commercial lines insurers,Run-off,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
30/06/2022,MIPS Insurance Pty Ltd,81089048359,Direct insurer,Commercial lines insurers,,54,14,0,4,10,18,9,9,3,1,14,11,3,0,1,1,1,0,0,1,-5,-2,0,-7,-1,1,0,-3,0,-6
30/06/2022,"Mitsui Sumitomo Insurance Company, Limited",49000525637,Direct insurer,Other direct insurers,,36,29,1,18,11,10,9,1,5,0,4,5,0,0,0,0,5,5,0,0,6,0,0,6,0,2,0,0,0,4
30/06/2022,Munchener Ruckversicherungs-Gesellschaft (Munich Reinsurance Company),90009763526,Reinsurer,Reinsurer,,-50,477,0,73,404,255,264,-9,69,0,186,241,-56,0,0,0,0,108,0,108,110,-88,1,21,-48,11,1,-20,0,-17
30/06/2022,OnePath General Insurance Pty Limited,56072892365,Direct insurer,Personal lines insurers,,1,2,0,0,2,0,1,-1,0,0,0,1,-1,0,0,0,0,0,0,0,2,0,0,2,0,1,1,0,0,1
30/06/2022,Optus Insurance Services Pty Limited,12005711928,Direct insurer,Personal lines insurers,,16,16,0,0,16,7,7,0,0,1,5,5,0,1,0,0,0,0,0,1,9,0,0,9,0,0,0,3,0,6
30/06/2022,Pacific International Insurance Pty Limited,83169311193,Direct insurer,Commercial lines insurers,,63,44,0,30,14,24,10,14,16,2,6,6,-1,0,0,0,15,16,1,2,7,5,0,11,0,12,2,-1,0,2
30/06/2022,QBE Insurance (Australia) Limited,78003191035,Direct insurer,Direct insurers from large groups,,"1,853","1,631",29,228,"1,402","1,076","1,083",-6,112,138,827,864,-38,46,14,32,23,280,108,458,118,-48,0,69,-19,31,14,12,0,21
30/06/2022,QBE Insurance (International) Pty Limited,11000000948,Direct insurer,Direct insurers from large groups,,9,15,0,5,10,4,5,0,1,1,2,0,2,0,0,0,0,2,2,4,3,1,0,4,1,0,0,2,0,3
30/06/2022,QBE Lenders' Mortgage Insurance Limited,70000511071,Direct insurer,Lenders mortgage insurers,LMI,64,76,0,42,34,-77,5,-82,-37,-3,-37,11,-48,6,0,0,16,0,0,-9,80,-3,0,77,0,7,0,20,0,51
30/06/2022,RAA Insurance Limited,14007872602,Direct insurer,Personal lines insurers,,107,100,0,16,84,95,114,-18,9,18,69,71,-2,3,0,0,0,9,1,13,2,-1,0,1,-1,2,0,-1,0,-1
30/06/2022,RAC Insurance Pty Limited,59094685882,Direct insurer,Personal lines insurers,,235,220,0,18,202,167,157,10,1,20,147,145,1,13,0,0,0,0,0,13,42,-1,0,42,-7,22,1,4,0,10
30/06/2022,RACQ Insurance Limited,50009704152,Direct insurer,Personal lines insurers,,293,284,0,59,225,205,329,-124,-30,16,219,221,-3,16,22,0,7,3,198,233,-227,-12,0,-239,-5,0,0,-73,0,-171
30/06/2022,RACT Insurance Pty. Ltd.,96068167804,Direct insurer,Personal lines insurers,,35,32,0,4,27,24,19,5,3,2,19,18,1,4,0,0,0,4,0,8,1,0,0,1,-1,0,0,2,0,-2
30/06/2022,RenaissanceRe Europe AG,12146546661,Reinsurer,Reinsurer,,18,22,0,2,19,9,5,3,-1,0,10,7,2,0,0,0,0,5,0,5,5,-3,0,2,-1,2,0,0,0,-1
30/06/2022,SCOR Reinsurance Asia-Pacific Pte. Ltd.,85071103092,Reinsurer,Reinsurer,,0,48,0,28,20,110,15,95,120,0,-10,-10,0,0,0,0,4,6,0,3,27,-2,0,25,-4,3,1,6,0,13
30/06/2022,SiriusPoint International Forsakringsaktiebolag (publ),26764933001,Direct insurer,Commercial lines insurers,Run-off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/06/2022,Sompo Japan Insurance Inc.,26061428775,Direct insurer,Commercial lines insurers,,19,18,0,13,4,11,6,5,11,0,0,1,-1,0,0,0,2,2,0,0,4,0,0,4,0,2,0,1,0,2
30/06/2022,Southern Cross Benefits Limited,99133401939,Direct insurer,Personal lines insurers,,3,2,0,0,2,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-1
30/06/2022,Sovereign Insurance Australia Pty Ltd,85138079286,Direct insurer,Other direct insurers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/06/2022,St Andrew's Insurance (Australia) Pty Ltd,89075044656,Direct insurer,Personal lines insurers,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/06/2022,StateCover Mutual Limited,36090394755,Direct insurer,Commercial lines insurers,,90,25,0,0,25,6,14,-9,-2,0,8,19,-11,1,0,0,0,0,0,1,15,-16,0,-1,-10,6,0,0,0,-17
30/06/2022,Stewart Title Limited,59101720101,Direct insurer,Other direct insurers,,7,7,0,0,6,2,2,1,0,0,2,-1,3,1,0,0,0,0,0,1,3,0,0,3,0,1,0,1,0,1
30/06/2022,Swiss Re Asia Pte. Ltd.,19631490447,Reinsurer,Reinsurer,,311,371,0,69,302,237,208,30,44,1,192,143,50,3,0,0,0,90,0,93,17,-13,0,4,-2,41,28,-3,0,-7
30/06/2022,Swiss Re International SE,38138873211,Direct insurer,Commercial lines insurers,,103,107,2,36,71,71,77,-5,41,17,13,2,12,3,0,2,1,10,0,14,43,-3,0,40,0,6,0,10,0,24
30/06/2022,The Hollard Insurance Company Pty Ltd,78090584473,Direct insurer,Personal lines insurers,,491,455,6,219,236,269,307,-38,125,20,124,133,-9,37,-6,5,72,90,1,56,56,1,0,57,6,52,-4,4,0,3
30/06/2022,The New India Assurance Co Ltd,93000151593,Reinsurer,Reinsurer,,1,2,0,1,1,0,1,-2,0,0,0,1,-1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
30/06/2022,The North of England Protecting and Indemnity Association Limited,33624528123,Direct insurer,Commercial lines insurers,,5,5,0,3,2,2,1,1,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
30/06/2022,"Tokio Marine & Nichido Fire Insurance Co., Ltd.",80000438291,Direct insurer,Commercial lines insurers,,55,47,0,11,36,36,18,18,2,3,31,24,7,8,0,0,2,12,0,17,-13,1,0,-12,0,5,15,0,0,-2
30/06/2022,Transatlantic Reinsurance Company,96096053226,Reinsurer,Reinsurer,,0,17,0,10,7,27,17,10,26,0,1,0,1,0,0,0,3,3,0,0,6,-3,0,3,-5,2,0,-1,0,-3
30/06/2022,TT Club Mutual Insurance Limited,31129394618,Direct insurer,Commercial lines insurers,,6,4,0,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,-1,0,0,-1
30/06/2022,"Virginia Surety Company, Inc.",63080339957,Direct insurer,Other direct insurers,,2,9,0,0,9,7,6,0,0,0,7,7,0,0,-2,0,0,3,0,1,2,-3,0,-1,-2,1,0,1,0,-6
30/06/2022,XL Insurance Company SE,36083570441,Direct insurer,Commercial lines insurers,,238,204,3,147,57,66,62,4,46,0,20,25,-5,8,0,5,32,0,0,-19,57,-8,0,48,-4,14,-4,-6,0,32
30/06/2022,Youi Pty Ltd,79123074733,Direct insurer,Personal lines insurers,,290,271,4,45,225,158,189,-31,28,25,104,110,-6,22,0,4,2,8,0,32,89,1,0,90,-2,43,1,14,0,32
30/06/2022,Zurich Australian Insurance Limited,13000296640,Direct insurer,Commercial lines insurers,,589,396,6,87,310,250,255,-5,56,23,171,166,5,-1,1,6,7,86,28,113,26,-56,0,-31,-1,2,0,-14,0,-19
31/03/2022,AAI Limited,48005297807,Direct insurer,Direct insurers from large groups,,"2,128","2,225",34,262,"1,963","2,668","1,589","1,079","1,251",202,"1,215","1,503",-289,228,0,35,18,59,112,415,333,-233,0,101,-30,34,19,0,0,55
31/03/2022,Achmea Schadeverzekeringen N.V.,86158237702,Direct insurer,Commercial lines insurers,,54,19,1,2,17,23,12,11,3,1,19,21,-2,0,-2,1,0,0,0,-1,-1,0,0,-1,0,7,0,0,0,-8
31/03/2022,AIG Australia Limited,93004727753,Direct insurer,Commercial lines insurers,,153,265,6,131,134,191,96,94,81,1,108,113,-4,9,0,6,34,30,3,13,13,-24,0,-11,-23,19,0,-16,0,-37
31/03/2022,Aioi Nissay Dowa Insurance Company Australia Pty Ltd,11132524282,Direct insurer,Personal lines insurers,,48,48,0,7,41,46,41,5,9,10,27,29,-2,0,-4,0,0,8,0,4,11,0,0,11,0,7,0,1,0,3
31/03/2022,Aioi Nissay Dowa Insurance Company Limited,39096302466,Direct insurer,Personal lines insurers,Run-off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/03/2022,Allianz Australia General Insurance Limited,99003719319,Direct insurer,Direct insurers from large groups,,-5,117,5,113,5,262,69,193,244,18,0,0,0,0,0,5,21,12,1,-3,8,0,0,8,0,5,0,1,0,2
31/03/2022,Allianz Australia Insurance Limited,15000122850,Direct insurer,Direct insurers from large groups,,"1,318","1,451",22,147,"1,304","1,815",902,913,596,209,"1,009","1,195",-186,104,0,22,11,175,59,349,-55,-172,2,-228,-31,69,58,-89,0,-182
31/03/2022,Allied World Assurance Company Limited,54163304907,Direct insurer,Commercial lines insurers,,29,34,1,14,19,27,20,6,8,0,18,22,-4,0,0,1,3,2,0,0,1,0,0,1,0,3,0,0,0,-2
31/03/2022,Ansvar Insurance Limited,21007216506,Direct insurer,Commercial lines insurers,,33,44,2,26,18,58,14,45,54,3,1,7,-6,6,0,2,5,4,0,7,10,-7,0,2,0,1,0,0,0,1
31/03/2022,ANZ Lenders Mortgage Insurance Pty. Limited,77008680055,Direct insurer,Lenders mortgage insurers,LMI,21,29,0,7,22,-2,3,-5,1,0,-2,-1,-1,0,0,0,5,0,0,-5,29,1,1,30,0,0,0,9,0,21
31/03/2022,Arch Lenders Mortgage Indemnity Limited,60074042934,Direct insurer,Lenders mortgage insurers,LMI,69,61,0,52,9,-1,1,-2,0,0,-1,0,-1,0,0,0,15,0,0,-15,25,-3,0,22,-17,6,0,1,0,-2
31/03/2022,Arch LMI Pty Ltd,60601356174,Direct insurer,Lenders mortgage insurers,LMI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0
31/03/2022,Aspen Insurance UK Limited,33128637650,Reinsurer,Reinsurer,,4,11,0,8,3,33,9,24,19,0,14,0,14,0,0,0,2,2,0,0,-11,-1,0,-13,-3,0,2,-3,0,-10
31/03/2022,Assetinsure Pty Limited,65066463803,Direct insurer,Commercial lines insurers,,25,25,0,5,20,9,6,3,2,0,7,1,6,4,0,0,1,4,0,6,6,-1,0,6,0,7,2,0,0,1
31/03/2022,Atradius Credito Y Caucion S.A. De Seguros Y Reaseguros,90610834556,Direct insurer,Other direct insurers,,21,20,0,8,12,15,6,9,3,1,11,18,-7,3,0,0,3,0,0,-1,1,-1,0,1,-1,3,1,0,0,-3
31/03/2022,Auto & General Insurance Company Limited,42111586353,Direct insurer,Personal lines insurers,,419,363,6,23,340,447,233,213,103,43,300,294,6,0,0,6,2,54,0,59,-19,1,0,-18,0,2,0,-6,0,-14
31/03/2022,Avant Insurance Limited,82003707471,Direct insurer,Commercial lines insurers,,20,67,0,1,66,35,54,-19,0,9,27,4,23,7,0,3,0,0,0,10,29,-7,0,22,-7,28,20,2,0,6
31/03/2022,Barristers' Sickness & Accident Fund Pty Ltd,78600371397,Direct insurer,Other direct insurers,Captive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,2,0,0,0,0,0
31/03/2022,Berkley Insurance Company,53126559706,Direct insurer,Commercial lines insurers,,96,98,0,6,92,72,54,18,9,0,64,49,14,0,0,0,0,18,0,18,10,-21,0,-11,0,8,0,-5,0,-13
31/03/2022,Berkshire Hathaway Specialty Insurance Company,84600643034,Direct insurer,Commercial lines insurers,,61,135,4,82,53,154,31,124,129,3,23,31,-8,0,0,4,11,8,0,0,30,0,0,30,0,10,-2,5,0,12
31/03/2022,BHP Marine & General Insurances Pty Ltd,79004958178,Direct insurer,Commercial lines insurers,Captive,0,6,0,0,6,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,6,-31,0,0,2,0,-27
31/03/2022,Boral Insurance Pty Limited,67000736318,Direct insurer,Commercial lines insurers,Run-off,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/03/2022,Catholic Church Insurance Limited,76000005210,Direct insurer,Commercial lines insurers,,55,84,2,70,13,132,297,-164,176,0,-44,92,-136,1,0,3,6,0,14,12,45,-2,0,43,-1,4,0,0,0,38
31/03/2022,Chubb Insurance Australia Ltd,23001642020,Direct insurer,Commercial lines insurers,,360,455,13,143,312,314,143,171,195,11,108,132,-24,45,0,13,11,44,15,107,98,-99,0,-2,-79,5,1,-26,0,-60
31/03/2022,CIC Allianz Insurance Limited,56094802801,Direct insurer,Direct insurers from large groups,,0,0,0,0,0,-8,7,-15,-7,-1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
31/03/2022,Commonwealth Insurance Limited,96067524216,Direct insurer,Personal lines insurers,,206,209,6,27,182,346,118,228,192,5,148,151,-3,4,0,6,0,15,8,33,0,1,0,1,-2,1,0,-1,0,-1
31/03/2022,Commonwealth Steamship Insurance Company Proprietary Limited,86004127431,Direct insurer,Commercial lines insurers,Run-off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/03/2022,Compagnie Francaise D'Assurance Pour Le Commerce Exterieur,60130761116,Direct insurer,Other direct insurers,,6,6,0,2,5,2,0,2,1,0,1,1,0,0,0,0,0,1,0,1,3,0,0,3,0,3,1,0,0,0
31/03/2022,Corrvas Insurance Pty Ltd,92088684799,Direct insurer,Commercial lines insurers,Run-off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/03/2022,Credicorp Insurance Pty. Ltd.,50069196756,Direct insurer,Personal lines insurers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/03/2022,Domestic & General Insurance PLC,11124040768,Direct insurer,Other direct insurers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
31/03/2022,Employers Mutual Limited,67000006486,Direct insurer,Commercial lines insurers,,0,0,0,0,0,-1,0,-1,0,0,-1,0,-1,0,0,0,0,0,0,0,1,0,0,1,-1,14,19,1,0,3
31/03/2022,Eric Insurance Limited,18009129793,Direct insurer,Other direct insurers,,10,20,0,0,20,11,9,2,0,2,9,9,0,0,0,0,0,10,0,10,1,0,0,1,0,5,0,0,0,-3
31/03/2022,Factory Mutual Insurance Company,47163108861,Direct insurer,Commercial lines insurers,,18,89,5,41,48,120,10,111,68,0,52,37,15,0,-4,5,5,0,0,-3,-1,1,0,0,0,11,0,-1,0,-10
31/03/2022,First American Title Insurance Company of Australia Pty Limited,64075279908,Direct insurer,Other direct insurers,,3,3,0,0,3,3,4,-1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,2,0,0,0,1
31/03/2022,FM Insurance Company Limited,99007502829,Direct insurer,Commercial lines insurers,Run-off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/03/2022,General Reinsurance Australia Ltd,16008427450,Reinsurer,Reinsurer,,31,46,0,22,24,85,13,72,50,0,35,1,34,6,-6,0,0,0,6,5,-17,-5,0,-22,-1,0,0,-7,0,-16
31/03/2022,Genworth Financial Mortgage Indemnity Limited,55001825725,Direct insurer,Lenders mortgage insurers,Run-off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/03/2022,Genworth Financial Mortgage Insurance Pty Limited,60106974305,Direct insurer,Lenders mortgage insurers,LMI,106,121,0,13,108,-21,6,-27,0,-1,-20,0,-20,5,0,0,0,0,17,22,107,-57,1,49,-21,3,0,8,0,18
31/03/2022,Gordian Runoff Limited,11052179647,Reinsurer,Reinsurer,Run-off,0,0,0,0,0,-7,9,-16,-4,0,-3,0,-3,0,0,0,0,0,0,0,3,-3,0,0,-4,0,0,-1,0,-3
31/03/2022,Great Lakes Insurance SE,18964580576,Direct insurer,Personal lines insurers,,29,41,1,41,0,27,37,-11,27,0,0,0,0,0,0,1,10,7,0,-3,3,0,0,3,0,2,0,0,0,0
31/03/2022,Guild Insurance Limited,55004538863,Direct insurer,Commercial lines insurers,,53,66,2,23,42,-17,22,-39,12,2,-30,-7,-24,3,0,0,9,7,0,1,72,-5,0,67,-2,16,0,15,0,34
31/03/2022,Hallmark General Insurance Company Ltd.,82008477647,Direct insurer,Personal lines insurers,,2,5,0,0,5,2,13,-11,0,0,2,2,0,0,0,0,0,1,0,1,2,0,0,2,0,4,0,0,0,-1
31/03/2022,Hannover Ruck SE,88002927031,Reinsurer,Reinsurer,,219,256,0,18,238,319,121,197,156,0,163,206,-43,0,0,0,1,54,0,53,21,-57,0,-36,-5,4,0,-13,0,-32
31/03/2022,HDI Global SE,55490279016,Direct insurer,Commercial lines insurers,,54,74,3,40,34,147,20,127,122,0,25,14,11,3,0,3,6,3,2,4,5,-3,0,2,-1,2,0,0,0,-1
31/03/2022,HDI Global Specialty SE,58129395544,Direct insurer,Commercial lines insurers,,121,113,2,100,14,92,47,45,81,0,11,9,1,0,0,2,24,23,0,1,2,0,0,2,0,4,1,0,0,-1
31/03/2022,Hospitality Employers Mutual Limited,34124091470,Direct insurer,Commercial lines insurers,,5,15,0,4,10,1,11,-10,1,0,0,7,-6,0,0,1,2,0,2,1,9,-3,0,6,-1,1,0,1,0,3
31/03/2022,Insurance Australia Limited,11000016722,Direct insurer,Direct insurers from large groups,,"1,996","2,246",70,"1,661",585,"1,840","1,247",593,"1,514",-11,337,441,-105,92,0,28,210,156,116,181,66,-125,0,-59,-20,83,74,-24,0,-64
31/03/2022,Insurance Manufacturers of Australia Pty Limited,93004208084,Direct insurer,Direct insurers from large groups,,"1,029","1,027",39,76,951,920,655,265,307,-69,682,668,14,116,0,37,0,35,9,196,73,-19,1,53,-17,2,0,10,0,24
31/03/2022,Lawcover Insurance Pty Limited,15095082509,Direct insurer,Commercial lines insurers,,0,21,0,3,18,12,13,-2,0,0,12,13,-1,0,0,0,0,0,5,5,2,-3,0,-1,-3,0,0,-1,0,-3
31/03/2022,LFI Group Pty Ltd,31138903581,Direct insurer,Personal lines insurers,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/03/2022,Liberty Mutual Insurance Company,61086083605,Direct insurer,Commercial lines insurers,,140,221,1,93,128,115,67,48,60,16,39,82,-43,1,15,1,20,19,0,17,72,-67,0,5,-8,25,3,-8,0,-18
31/03/2022,MDA National Insurance Pty Ltd,56058271417,Direct insurer,Commercial lines insurers,,0,20,0,1,19,9,9,0,-2,0,11,16,-5,0,0,0,0,0,1,1,7,-9,0,-2,0,6,0,0,0,-8
31/03/2022,Medical Insurance Australia Pty Limited,99092709629,Direct insurer,Commercial lines insurers,,2,15,0,2,14,15,8,7,4,1,11,15,-4,0,0,0,0,0,0,0,3,-2,0,1,-1,6,0,-2,0,-4
31/03/2022,MetLife General Insurance Limited,64004195895,Direct insurer,Commercial lines insurers,Run-off,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
